feature,importance
f735,0.19694221110640425
f397,0.19693932035966089
f413,0.1969245711303637
f367,0.19691417968199582
f519,0.19689476416358656
f470,0.19689048589509403
f614,0.19688143264219574
f700,0.19687343755679754
f642,0.19686957397911548
f573,0.19686522916928695
f727,0.19684984750395007
f435,0.1968463010991868
f399,0.19683462914023778
f356,0.19682423528512105
f392,0.1967803736436085
f553,0.1967715780819849
f591,0.1967623710606449
f317,0.1967574733198113
f724,0.1967483191732665
f385,0.19674711536860282
f371,0.1967470500922505
f535,0.19674542015111537
f474,0.1967349395378401
f234,0.19672873474358776
f576,0.19667925309360992
f381,0.1966352749463404
f463,0.19661521232404972
f577,0.19659192102113665
f531,0.19653604297909794
f460,0.196534565213566
f584,0.19648915289165844
f428,0.19648050383153218
f318,0.19647603562670213
f559,0.19647601810676016
f580,0.1964729802313668
f669,0.19642455957502428
f667,0.19640418891683872
f571,0.19637892496566198
f265,0.19637333231261941
f352,0.19634584444200623
f487,0.1962878725453843
f828,0.19626853131099903
f588,0.19624352282082344
f442,0.19619000749266777
f610,0.19616759112342794
f557,0.19616258550781462
f252,0.1961141214492482
f332,0.19610360082147968
f613,0.1960349668350786
f599,0.19602020912824641
f440,0.19601158927371037
f292,0.1960074400595415
f441,0.19600265988666343
f730,0.19599278598986017
f752,0.1958896920531108
f686,0.19585452737231798
f722,0.19584638124263762
f612,0.19583334936600597
f505,0.1958247488533324
f718,0.19581939112809732
f707,0.19579282650362864
f369,0.1957893933054309
f372,0.1957556944322521
f384,0.19575530192216198
f420,0.19575165457158242
f217,0.19574956023396195
f627,0.19574827957114904
f406,0.19572467647710637
f616,0.19572101784105297
f374,0.19571531365471703
f339,0.19566858818337302
f549,0.1956055223247065
f517,0.1955892118137576
f419,0.19555935443844782
f412,0.19554682901361778
f466,0.19552501794858967
f479,0.1955167224535405
f620,0.19550126250950559
f546,0.19549224121295744
f831,0.19548517223790746
f362,0.19548320584198947
f621,0.19542284970834325
f424,0.19541099163361852
f687,0.19540222131293164
f665,0.19538752917527327
f689,0.1953715521303224
f390,0.1953590180808775
f742,0.19534580253913933
f314,0.19531559719667518
f856,0.19528855637101025
f459,0.1952741469375507
f288,0.1952736040469354
f606,0.1952370970390599
f739,0.19521521181733523
f841,0.19521275795248033
f649,0.19519302572553848
f400,0.19518585197888852
f523,0.19517461941214176
